PropertyName,Address,City,State,ZipCode,PhoneNumber,TotalSqFt,NetRentableSqFt,TotalAcres,NumBuildings,NumFloors,PropertyStatus,ImpressionRating,LocationRating,CompletionDate
Public Storage,3010 Wilshire Blvd,Santa Monica,CA,90403,4246455424,65750,49312,0.59,1,5,Completed,B,B+,1997-08-13
Public Storage,1724 South Crenshaw Blvd,Torrance,CA,90501,4242605208,50500,37875,0.99,1,3,Completed,B,C+,1990-01-01
Public Storage,4460 Del Amo Blvd,Torrance,CA,90503,4242572099,92850,88207,4.25,7,1,Completed,B,A-,1974-01-01
Public Storage,380 Crenshaw Blvd,Torrance,CA,90503,4242667730,132272,99204,2.01,3,3,Completed,B,B-,1989-01-01
Public Storage,3501 Lomita Blvd,Torrance,CA,90505,4242667764,73530,62500,2.05,2,2,Completed,B,A-,1960-01-01
Public Storage,11510 Jefferson Blvd,Culver City,CA,90230,4248355682,109908,82431,1.25,2,3,Completed,B,B,1989-01-01
Public Storage,8512 National Blvd,Culver City,CA,90232,4242538267,160500,120375,2.02,4,4,Completed,B,B-,1988-01-01
Public Storage,1459 West 190th Street,Gardena,CA,90248,4242605165,194364,165209,2.85,1,2,Completed,A,C+,1994-01-01
Public Storage,14209 Western Avenue,Gardena,CA,90249,4242667442,57350,43012,1.36,4,3,Completed,B,C+,1985-01-01
Public Storage,1546 West El Segundo,Gardena,CA,90249,4242667756,74250,63112,1.79,2,2,Completed,B,C-,1988-01-01
Public Storage,24180 South Vermont Avenue,Harbor City,CA,90710,4242508409,129984,110486,3.39,1,2,Completed,C,B-,1965-01-01
Public Storage,14107 Crenshaw Blvd,Hawthorne,CA,90250,4242667805,51916,38937,0.81,1,3,Completed,B,C,1989-01-01
Public Storage,10833 South Prairie Avenue,Inglewood,CA,90303,4242667790,35500,33725,1.56,8,1,Completed,C,B,1977-01-01
Public Storage,10100 South La Cienega Blvd,Inglewood,CA,90304,4242667782,145440,109080,2.06,2,4,Completed,B,C+,1989-01-01
Public Storage,11102 South La Cienega Blvd,Lennox,CA,90304,4242667784,73140,54855,1.14,2,4,Completed,B,C,1988-01-01
Public Storage,11802 West Washington Blvd,Los Angeles,CA,90066,4242538256,24594,18445,0.39,1,3,Completed,B,B-,1987-01-01
Public Storage,12681 West Jefferson Blvd,Los Angeles,CA,90066,4248355663,217062,162796,3.3,1,4,Completed,A,B+,2001-01-01
Public Storage,2703 Martin Luther King Blvd,Los Angeles,CA,90008,3232180464,33750,25312,0.6,1,3,Completed,B,B,1990-01-01
Public Storage,300 Avery Street,Los Angeles,CA,90013,2135503071,104982,78736,0.51,1,5,Completed,B,C+,2011-01-01
Public Storage,315 South 4th Avenue,Venice,CA,90291,4242299050,189390,142042,2.88,4,3,Completed,B,B+,1988-01-01
Public Storage,5544 West Centinela Avenue,Los Angeles,CA,90045,4242619613,107063,101709,3.61,3,1,Completed,B,B-,1977-01-01
Public Storage,6701 South Pacific Coast Hwy,Los Angeles,CA,90045,4242667742,72000,54000,1.15,1,4,Completed,B,A-,1988-01-01
Public Storage,2500 West 6th Street,Los Angeles,CA,90057,2139851622,99035,74276,0.28,1,7,Completed,B,C+,2001-01-01
Public Storage,2300 Purdue Avenue,Los Angeles,CA,90064,4242760685,75738,56803,0.8,1,3,Completed,B,B-,1985-01-01
Public Storage,11625 West Olympic Blvd,Los Angeles,CA,90064,4242760904,159500,119625,1.32,1,4,Completed,B,B-,1987-01-01
Public Storage,11259 West Olympic Blvd,Los Angeles,CA,90064,4246528042,89200,66900,1.42,1,3,Completed,A,B-,1998-01-01
Public Storage,11200 West Pico Blvd,Los Angeles,CA,90064,4249010467,193967,145475,2.32,1,4,Completed,A,A-,2001-01-01
Public Storage,3773 South Durango Avenue,Los Angeles,CA,90034,4242538235,81023,60767,0.94,1,3,Completed,A,B,2001-01-01
Public Storage,5941 Venice Blvd,Los Angeles,CA,90034,3236771826,41484,31113,0.64,1,4,Completed,B,C,1990-01-01
Public Storage,5917 Burchard Avenue,Los Angeles,CA,90034,3237095790,57294,42970,0.71,1,4,Completed,B,C,1990-01-01
Public Storage,6007 Venice Blvd,Los Angeles,CA,90034,3237438979,91280,68460,0.69,1,4,Completed,B,C,1990-01-01
Public Storage,6801 Santa Monica Blvd,West Hollywood,CA,90038,3233913958,141060,105795,1.08,1,4,Completed,A,B-,1987-01-01
Public Storage,6202 Willoughby Avenue,Los Angeles,CA,90038,3233913961,56250,42187,0.86,2,3,Completed,B,A-,1988-01-01
Public Storage,6840 Santa Monica Blvd,Los Angeles,CA,90038,3233913978,112582,84436,1.41,1,3,Completed,B,B-,1987-01-01
Public Storage,3401 South La Cienega Blvd,Los Angeles,CA,90016,4242585649,78793,74853,3.53,8,1,Completed,C,B-,1977-01-01
Public Storage,5741 West Jefferson Blvd,Los Angeles,CA,90016,3236771807,81300,69105,2.11,3,2,Completed,B,B-,1985-01-01
Public Storage,3821 Jefferson Blvd,Los Angeles,CA,90016,3236967761,45000,33750,0.7,1,3,Completed,B,C,1990-01-01
Public Storage,3770 Crenshaw Blvd,Los Angeles,CA,90016,3233913971,67980,57783,1.42,3,2,Completed,B,B,1989-01-01
Public Storage,3611 West Washington Blvd,Los Angeles,CA,90018,3236967754,97375,73031,0.92,2,3,Completed,B,C,2010-12-20
Public Storage,5570 Airdrome Street,Los Angeles,CA,90019,3236771829,75000,56250,1.17,1,3,Completed,B,C+,1989-01-01
Public Storage,4174 West Pico Blvd,Los Angeles,CA,90019,3237095787,80028,60021,0.49,1,8,Completed,B,C,2012-09-05
Public Storage,649 South Boyle Avenue,Los Angeles,CA,90023,3234885557,77460,65841,2.78,3,2,Completed,C,C,1989-01-01
Public Storage,1606 Cotner Avenue,Los Angeles,CA,90025,4242760898,89530,67147,0.63,2,4,Completed,B,A-,1972-01-01
