PropertyName,Address,City,State,ZipCode,PhoneNumber,TotalSqFt,NetRentableSqFt,TotalAcres,NumBuildings,NumFloors,PropertyStatus,ImpressionRating,LocationRating,CompletionDate
720 Self Storage,720 6th Avenue,Troy,NY,12182,5182337233,17769,15103,1.91,3,2,Completed,B,C+,1970-01-01
A - Metro Climate Controlled Self Storage,4773 Western Turnpike,Altamont,NY,12009,5183578712,44268,42054,10.6,6,1,Completed,B,B-,2013-01-01
A - Metro Movers Self Storage,889 Troy-Schenectady Road,Latham ,NY,12110,5187834080,43069,36608,5.7,6,2,Completed,B,B,1989-01-01
A - Metro Movers Self Storage,2703 Curry Road,Guilderland,NY,12303,5183555005,37125,31556,4.55,2,2,Completed,B,B-,2011-01-01
Accessible Self Storage,1233 Route 9,Hudson,NY,12534,5188220536,10900,10355,17.4,4,1,Completed,C,C,2000-01-01
Accountable Self Storage,4071 Route 9,Hudson,NY,12534,5188220399,8100,7695,5.06,2,1,Completed,C,C,1999-01-01
Adirondack Self Storage,2000 Route 9 North,Greenfield Center,NY,12833,5185831100,14667,13933,2.92,5,1,Completed,C,C,1994-01-01
Affordable Self Storage,90 Healy Blvd,Hudson,NY,12534,5188285213,53100,50445,2.74,12,1,Completed,C,C+,1990-01-01
Affordable Self Storage,22 Kipp Lane,Hudson,NY,12534,5188285213,16200,15390,4.67,1,1,Completed,B,C,2018-08-10
Affordable Storage,655 Route 9,Gansevoort,NY,12831,5185120098,14964,14215,1.94,7,1,Completed,C,B-,1988-01-01
Albany - Menands Self Storage,1 Broadway Self Storage,Albany,NY,12204,5188802990,83380,62535,0.45,1,5,Completed,C,C+,2000-01-01
Albany Superstorage,44 Broadway,Albany,NY,12202,5184341906,83312,62484,0.68,1,5,Completed,A,C,2011-01-01
All Safe Storage,1627 US Route 9W,Selkirk,NY,12158,5187670400,11824,11232,24.4,2,1,Completed,C,C,2006-01-01
Alternative Self Storage,296 Morris Road,Schenectady,NY,12303,5183564952,37170,35311,4.8,5,1,Completed,B,B+,2007-01-01
Northway Exit 16 Self Storage,163 Ballard Road,Wilton,NY,12831,5185333659,66740,50055,9.65,1,3,Completed,A,C+,2020-03-23
Bentley Self - Storage,721 River Road,Glenmont,NY,12077,5184651900,24784,23544,8,4,1,Completed,B,C,2005-01-01
Bethlehem Self - Storage,15-25 Yard Road,Feura Bush,NY,12067,5187673212,15400,14630,6.64,10,1,Completed,C,C+,1991-01-01
Brunswick Self Storage,40 Brick Church Road,Troy,NY,12180,5182794501,21600,20520,18.92,4,1,Completed,C,C+,2001-01-01
Burnt Hills Self Storage,736 Route 50,Burnt Hills,NY,12027,5183993300,56573,53744,5.01,10,1,Completed,B,B-,1999-01-01
Campbell Avenue Storage,525 Campbell Avenue,Troy,NY,12180,5182727368,38419,36498,3.83,9,1,Completed,C,C+,1990-01-01
Canaan Self Storage,30 Flints Crossing Road,Canaan,NY,12029,4134410083,21800,20710,3.59,6,1,Completed,C,C+,2005-01-01
Cangelosi Self Storage,5660 State Route 23,Windham,NY,12496,5187343914,9600,9120,1.1,4,1,Completed,C,C+,2001-01-01
Central Estate Self Storage,3882 Western Tpke,Duanesburg,NY,12056,5188958525,12181,11571,5,2,1,Completed,B,C+,2001-01-01
Central Self Storage,2758 State Route 7,Cobleskill,NY,12043,5182968893,50728,48191,5.14,9,1,Completed,B,C+,2000-01-01
Charlie's Self Storage,4524 Route 32,Catskill,NY,12414,5186782210,18060,17157,4,5,1,Completed,C,C,1991-01-01
Chatham Self Storage,1101 Rt 295,East Chatham,NY,12060,5183925625,36000,34200,6.14,10,1,Completed,C,C,2003-01-01
ValuSpace Personal Storage,1607 Route 9,Halfmoon,NY,12065,5185793810,110983,83237,3.27,6,3,Completed,B,B,2019-11-15
Coon Self Storage,1840 Route 9H,Hudson,NY,12534,5188228136,73530,69853,25.6,10,1,Completed,C,C,1997-01-01
Coon Self Storage,1005 State Route 23,Craryville,NY,12521,5188512624,55790,53000,34.4,10,1,Completed,C,C,2010-01-01
Corning Hill Storage,11 River Road,Glenmont,NY,12077,5184361014,18669,15868,5.9,2,2,Completed,C,C+,1980-01-01
Country Storage,23 Tybush Lane,Troy,NY,12180,5182793174,14310,13594,3.86,4,1,Completed,C,C,1991-01-01
County Line Self - Storage,14557 US Route 9 West,Ravena,NY,12143,5187562600,25360,24092,2.33,7,1,Completed,C,C+,1990-01-01
Crocetta Brothers,2113 Central Avenue,Schenectady,NY,12304,5183740330,13475,12801,1.88,3,1,Completed,C,C+,2000-01-01
Dieckelmann Self Storage,3429 US Route 9,Valatie,NY,12184,5187842151,13200,12540,5.9,2,1,Completed,C,C,1998-01-01
Eagle Tool Rental & Storage,13729 US Highway 9 West,West Coxsackie,NY,12192,5187566531,3600,3420,5.9,2,1,Completed,C,C,2006-01-01
Economy Self Storage,6210 Route 9 North,Hadley,NY,12835,5186963768,24600,23370,2.5,11,1,Completed,C,C,1990-01-01
Exit 10 Storage,1550 Columbia Turnpike,Castleton-On-Hudson,NY,12033,5184774140,30900,29355,40.04,10,1,Completed,C,B-,2004-01-01
Exit 9 Self Storage,2 Crossing Blvd,Clifton Park,NY,12065,5182415950,86640,64980,4.97,8,3,Completed,C,B,1987-01-01
Storage Sense,75 Brookline Road,Ballston Spa,NY,12020,5185342037,78850,74907,10.34,14,1,Completed,B,C+,2002-01-01
G & G Storage,1641 Crane Street,Schenectady,NY,12303,5183729536,3960,3762,1.4,1,1,Completed,C,C,1986-01-01
Venice Self Storage,2850 Executive Drive,Venice,FL,34292,NULL,105000,78750,1.68,1,3,Planned,NR,B-,NULL
Germantown Self Storage,8 Main Street,Germantown,NY,12526,5185376214,5520,5244,0.53,1,1,Completed,C,C+,1988-01-01
Glenmont Self Storage,560 Route 9 west,Glenmont,NY,12077,5184701000,73022,62068,4.42,11,2,Completed,C,B,2001-01-01
Glenmont Self Storage Phase II,560 Route 9 West,Glenmont,NY,12077,5184701000,40000,38000,44.72,4,1,Under Construction,NR,B,2021-03-10
Halfmoon Self Storage,20 Farm to Market Road,Halfmoon,NY,12065,NULL,48000,45600,9.94,8,1,Planned,NR,C,NULL
Harrison Avenue Self Storage,138 Harrison Avenue,South Glens Falls,NY,12803,5187932944,69000,65550,8.06,19,1,Completed,C,C+,2009-01-01
Highland Self Storage,462 Marcelis Avenue,Schenectady,NY,12302,5183727206,17550,16672,1.26,7,1,Completed,C,C+,2004-01-01
Hoosick Self Storage,628 South Street,Hoosick,NY,12089,5186863100,21600,20520,10.07,5,1,Completed,C,C,1995-01-01
Inside Storage Solutions,3 McElwain Avenue,Cohoes,NY,12047,5186206165,40509,30381,1.04,1,4,Completed,B,C+,1958-01-01
J & M Self Storage,4555 Route 32,Catskill,NY,12414,5186785640,6548,6220,1.2,2,1,Completed,C,C,2001-01-01
Jakes Lock - Up,11223 Route 9 West,Coxsackie,NY,12051,5187317180,28800,27360,4,11,1,Completed,C,C,1980-01-01
Lansingburgh Store - It,75 Gurley Avenue,Troy,NY,12182,5189515273,17400,16530,0.85,2,1,Completed,C,B-,1999-01-01
Lincoln Storage,146 Lincoln Avenue,Colonie,NY,12205,5188697261,51700,49115,5.91,12,1,Completed,C,B-,1997-01-01
Luther Road Self Storage,1010 Luther Road,East Greenbush,NY,12061,5184791100,18784,17844,1.6,5,1,Completed,C,B,2004-01-01
Mabey's Self Storage,142 Raylinsky Road,Ballston Lake,NY,12019,5188998089,91504,77778,10.6,4,2,Completed,A,B,2018-05-01
Mabey's Self Storage,1657 Route 9,Clifton Park,NY,12065,5183715985,60940,51799,4.07,10,2,Completed,C,B,1989-01-01
Mabey's Self Storage,9 Morris Lane,Clifton Park,NY,12065,5183710500,53170,50511,16.79,11,1,Completed,C,B-,2001-01-01
Mabeyís Self Storage,515 3rd Avenue Ext,Rensselaer,NY,12144,5182830017,56294,53479,9.65,9,1,Completed,C,B+,1975-01-01
Mabeyís Self Storage,4291 Albany Street,Colonie,NY,12205,5188690067,43520,41344,3.9,10,1,Completed,B,B+,1983-01-01
Mabeyís Self Storage - Colonie West,4290 Albany Street,Colonie,NY,12205,5188690067,31400,29830,4.08,4,1,Completed,C,B+,1995-01-01
Mabeyís Self Storage - Latham,916 New Loudon Road,Latham ,NY,12110,5187857200,97062,NULL,5,8,2,Completed,C,B,1985-01-01
Morr Is Stored,36 Old Gick Road,Saratoga Springs,NY,12866,5185870988,125649,94236,3.16,1,3,Completed,A,B-,2007-01-01
Mullen Moving & Storage,247 Altamont Avenue,Schenectady,NY,12304,5183828200,8425,8003,1.58,5,1,Completed,C,C+,1994-01-01
Normanskill Self Storage,694 Delaware Avenue,Albany,NY,12209,5184391539,10600,10070,2.58,3,1,Completed,C,C+,2005-01-01
North Hoosick Self Storage,22031 NY 22,Hoosick Falls,NY,12090,5186865431,4500,4275,15.01,1,1,Completed,C,C,2010-01-01
Old Kinderhook Self Storage,3067 Route 9,Valatie,NY,12184,5187582919,34940,33193,4.8,13,1,Completed,C,C+,2003-01-01
Plaza 15 Self Storage,30 Gick Road,Saratoga Springs,NY,12866,5183175096,169150,160692,13.63,17,1,Completed,C,B-,1995-01-01
Eagle Storage,410 North Linder Road,Eagle,ID,83616,NULL,NULL,NULL,4.31,NULL,1,Prospective,NR,B,NULL
Prime Storage,4297 Route 50,Saratoga Springs,NY,12866,5184507009,93896,79811,3.41,1,2,Completed,A,C,2019-07-01
LifeStorage,259 Ushers Road,Clifton Park,NY,12065,5186360211,40000,34000,1.71,1,2,Completed,A,B+,2006-01-01
Prime Storage,2353 Route 9,Mechanicville,NY,12118,5185944081,105750,79312,3.6,1,3,Completed,A,B-,2011-01-01
LifeStorage,261 Ushers Road,Clifton Park,NY,12065,5183965666,50973,48424,4.33,15,1,Completed,C,B+,1986-01-01
Prime Storage,12 Lower Hudson Avenue,Green Island,NY,12183,5189630472,42200,40090,4,11,1,Completed,C,C,2004-01-01
Storage Sense,62 Voorheesville Avenue,Voorheesville,NY,12186,5187653149,28226,26814,3,6,1,Completed,B,C+,1995-01-01
Prime Storage,3 Commerce Park Drive,Gansevoort,NY,12831,5185120392,29700,28215,3.68,4,1,Completed,C,C+,2004-01-01
Prime Storage,103 Old Mill Lane,Schenectady,NY,12306,5186324905,27648,26265,3.28,2,1,Completed,C,B-,1980-01-01
Prime Storage,50 Oliver Street,Cohoes,NY,12047,5186213733,48645,46212,5.1,7,1,Completed,B,C,2001-04-30
LifeStorage,3081 Route 50,Saratoga Springs,NY,12866,5186214940,43788,41598,5.27,7,1,Completed,C,B-,1988-01-01
LifeStorage,1772 Route 9,Clifton Park,NY,12065,5183004959,58812,49990,1.33,1,2,Completed,A,B,2000-01-01
LifeStorage,1406A Route 9,Clifton Park,NY,12065,5183004979,58112,55206,9.65,15,1,Completed,C,B-,1989-01-01
Prime Storage,1322 New Loudon Road,Cohoes,NY,12047,5189927498,23566,22387,3.29,5,1,Completed,B,C+,2000-01-01
Prime Storage,1110 Altamont Avenue,Schenectady,NY,12303,5186284022,69120,65664,7.33,12,1,Completed,C,C+,1999-01-01
Prime Storage,65 Freemans Bridge Road,Glenville,NY,12302,5183488490,63825,60633,4.99,15,1,Completed,B,C+,1999-01-01
Prime Storage,100 Von Roll Drive,Schenectady,NY,12306,5182413899,58900,55955,4.7,10,1,Completed,C,B-,2006-01-01
Prime Storage,1025 Central Avenue,Albany,NY,12205,5183483844,47305,44939,3.3,9,1,Completed,C,C+,1986-01-01
Reliable Storage,755 Columbia Turnpike,East Greenbush,NY,12061,5184967867,9108,8652,0.76,2,1,Completed,C,B,2000-01-01
Reliable Storage,950 Route 9,Castleton,NY,12033,5184967867,19824,18832,17.81,5,1,Completed,C,C+,2011-03-17
Reliable Storage,1808 Route 9,Schodack ,NY,12033,5184967867,19800,18810,2.2,5,1,Completed,C,C,2005-01-01
Rip's Storage,51 Silver Spur Road East,Cairo,NY,12413,5186220091,39000,37050,8.1,11,1,Completed,C,C,2000-01-01
Route 5s Self Storage,681 River Road,Schenectady,NY,12306,5188875000,15080,14326,5.8,3,1,Completed,C,C+,1985-01-01
Route 9 Mini Storage,53 Lamplighter Acres,Moreau,NY,12828,5187980588,29200,27740,9.03,8,1,Completed,C,C+,1989-01-01
Saratoga Self Storage,499-501 Saratoga Street,Cohoes,NY,12047,5182337800,31375,29806,2.41,9,1,Completed,B,C,2004-07-30
Scotia Lock Up,29 Maple Avenue,Scotia,NY,12302,5183729952,27244,25881,3.7,4,1,Completed,C,C+,1974-01-01
U - Haul Moving & Storage,5365 Jimmy Carter Blvd,Norcross,GA,30093,7704475017,37585,35705,4.87,6,1,Completed,B,B,1981-01-01
U - Haul Moving & Storage,3804 Buford Drive,Buford,GA,30519,7709320923,47710,45324,3.62,6,1,Completed,B,C+,1981-01-01
U - Haul Moving & Storage,2085 Cobb Pkwy,Kennesaw,GA,30152,7707928555,100168,85142,4.49,2,2,Completed,A,B-,1999-01-01
U - Haul Moving & Storage,6380 Hickory Flat Hwy,Canton,GA,30115,7704792313,63868,47901,4.43,3,3,Completed,B,A-,2006-01-01
U - Haul Moving & Storage,8640 Kendrick Road,Jonesboro,GA,30238,7704778037,55359,52591,5.98,17,1,Completed,C,C,1986-01-01
U - Haul Moving & Storage,100 Dodd Street,Marietta,GA,30060,7704249584,48250,45837,2.21,5,1,Completed,C,B,1984-01-01
U - Haul Moving & Storage,471 Eagles Landing Pkwy,Stockbridge,GA,30281,6783795018,66800,63460,30.6,1,1,Completed,A,B-,2019-08-01
U - Haul Moving & Storage,375 Highway 74 South,Peachtree City,GA,30269,6786193056,231708,196951,14.4,2,2,Completed,A,B+,2000-01-01
CubeSmart Self Storage,8179 Ritchie Hwy,Pasadena,MD,21122,NULL,87120,65340,1.79,1,5,Planned,NR,B,NULL
Extra Space Storage,8522 Old Hardford Road,Parkville,MD,21234,NULL,90000,85500,5.7,NULL,1,Planned,NR,B,NULL
Brown Business Park Self Storage,509 Rolfsmeyer Drive,Fitchburg,WI,53713,NULL,73491,55118,4,1,3,Planned,NR,C+,NULL
Devon Self Storage,2101 West Broadway,Monona,WI,53713,NULL,96000,91200,10.3,1,1,Prospective,NR,C,NULL
Extra Space Storage,3119 Deming Way,Middleton,WI,53562,NULL,106610,79957,5.38,1,3,Prospective,NR,B,NULL
Secure Storage,2652 Murphy Road,Portage,WI,53901,6083513030,NULL,NULL,4.88,1,1,Planned,NR,C+,NULL
U - Haul Moving & Storage,2000 East 10 Mile Road,Warren,MI,48091,NULL,122600,116470,10.81,1,1,Under Construction,NR,C+,2021-05-26
All Season Self Storage Phase II,2415 State Rt. 37 East,Delaware,OH,43015,7403691800,5200,4940,5,1,1,Under Construction,NR,C,2021-03-16
LifeStorage,3290 Pleasant Hill Road,Kissimmee,FL,34746,NULL,96500,72375,4.01,1,3,Planned,NR,B-,NULL
CubeSmart Self Storage,1645 North American Street,Philadelphia,PA,19122,4453005955,84776,63582,0.48,1,5,Completed,A,C+,2020-12-02
Sanford Safe Storage,313 Cottage Street,Sanford,ME,4073,2078501051,24450,23227,7.66,5,1,Completed,B,C+,2018-05-09
Hoosier Storage,3130 Thompson Road,Indianapolis,IN,46227,NULL,75650,71867,4.18,10,1,Planned,NR,C+,NULL
Casale Self Storage,340 New Karner Road,Colonie,NY,12205,NULL,92676,69507,3.87,1,3,Planned,NR,B+,NULL
Highland Avenue Self Storage,East Bay Drive & Highland Avenue,Largo,FL,33771,NULL,NULL,NULL,5.62,1,1,Planned,NR,C+,NULL
Public Storage,2351 South Swanson Street,Philadelphia,PA,19148,2156420359,127557,95667,1.24,1,4,Completed,A,C,2020-08-24
Curry Pike Self Storage,2450 South Curry Pike,Bloomington,IN,47403,NULL,100000,75000,7.49,1,3,Planned,NR,C+,NULL
Silicon Prairie Storage,310 Yard Drive,Verona,WI,53593,NULL,76056,57042,5.24,1,3,Planned,NR,B-,NULL
Hogg Super Storage,8912 Erie Road,Angola,NY,14006,7165492564,31205,29644,49.68,3,1,Completed,B,B,2020-10-01
Hugill Storage,2612 Bedell Road,Grand Island,NY,14072,7167753500,4728,4491,60,1,1,Completed,B,C,2014-10-17
Extra Space Storage Phase II,4410 Allisonville Road,Indianapolis,IN,46205,3174028144,31900,30305,3.25,NULL,1,Planned,NR,C,NULL
Access Storage,115 Ramsey Road,Maryville,TN,37801,8658563931,17200,16340,8.07,5,1,Completed,C,C,2000-01-01
Briggs Self Storage Phase II,1521 Harrisburg Pike,Columbus,OH,43223,6149024426,NULL,NULL,3.23,2,1,Prospective,NR,C+,NULL
Placida Mini Storage,3401 Placida Road,Englewood,FL,34224,NULL,25811,24520,3.79,4,1,Planned,NR,C+,NULL
Save It All Self Storage,2025 Tamiami Trail,Port Charlotte,FL,33948,NULL,NULL,NULL,12.24,NULL,1,Prospective,NR,B-,NULL
Public Storage,475 North Germantown Pkwy,Cordova,TN,38018,9019101695,176291,167476,13.33,1,1,Completed,B,B,2020-05-08
SpaceBox Storage,1265 South Tamiami Trail,Osprey,FL,34229,NULL,NULL,NULL,4.89,3,1,Prospective,NR,B,NULL
U - Haul Moving & Storage,2055 Avalon Pkwy,McDonough,GA,30253,6784666513,169660,127245,20,5,3,Completed,A,C+,2019-05-20
U - Haul Moving & Storage,2127 Marietta Hwy,Canton,GA,30114,7707049028,64508,54831,4.87,1,2,Completed,B,B-,1966-01-01
U - Haul Moving & Storage,1549 Mount Zion Road,Morrow,GA,30260,6783692753,149420,127007,10,1,2,Completed,A,C+,2018-05-23
U - Haul Moving & Storage,2416 South Cobb Drive,Smyrna,GA,30080,7704325249,24950,23702,2.05,1,1,Completed,B,C+,1980-01-01
U - Haul Moving & Storage,7308 Tara Blvd,Jonesboro,GA,30236,7704717956,39255,37292,2.1,6,1,Completed,C,C+,1974-01-01
U - Haul Moving & Storage,2840 Holcomb Bridge Road,Alpharetta,GA,30022,6787951443,79755,67791,4.54,7,2,Completed,B,A-,2001-01-01
U - Secur - It Mini Warehouses,1686 Highway 138 NE,Conyers,GA,30013,7705044252,30316,28800,1.72,6,1,Completed,C,C+,1981-01-01
U Store,4400 Kimball Bridge Road,Alpharetta,GA,30005,6782972055,30954,23215,0.96,1,3,Completed,A,A-,2001-01-01
Union City Self Storage,4905 Jonesboro Road,Union City,GA,30291,7706299008,46381,44061,5.71,5,1,Completed,C,C+,1989-01-01
United Storage,611 Veterans Memorial Blvd,Cumming,GA,30040,7708871877,7800,7410,1.48,2,1,Completed,C,B,1998-01-01
West Forsyth Storage,4630 Canton Hwy,Cumming,GA,30028,7702929252,7280,6916,5.36,1,1,Completed,C,C+,2013-01-01
Westside Mini Storage,305 Canton Road,Cumming,GA,30040,7708893967,21100,20045,3.9,4,1,Completed,C,B-,1985-01-01
Windy Hill Self Storage,760 Windy Hill Road,Smyrna,GA,30080,7704352730,14606,13875,1.02,3,1,Completed,C,B-,1979-01-01
CubeSmart Self Storage,185 Woodstock Pkwy,Woodstock,GA,30188,4707440110,102164,76623,1.73,1,4,Completed,A,B,2019-04-15
Your Extra Attic,13700 Highway 9 North,Alpharetta ,GA,30004,7702030727,89138,84681,6.64,8,1,Completed,B,B+,2001-01-01
Your Extra Attic Post Road,6075 Post Road,Cumming,GA,30040,7706510595,101808,76356,2,1,4,Completed,A,A,2020-02-06
Your Extra Attic,4730 Lower Roswell Road,Marietta,GA,30068,7705090880,77592,58194,1.48,1,3,Completed,B,A,1997-01-01
Your Extra Attic,130 Peachtree Industrial Blvd,Sugar Hill,GA,30518,7707964834,87884,74701,7.06,6,2,Completed,A,A,1999-01-01
Your Extra Attic,5534 Highway 92,Acworth,GA,30102,7707964937,59587,56607,3.71,6,1,Completed,B,B-,1983-01-01
Your Extra Attic,1715 Peachtree Pkwy,Cumming,GA,30041,7707964805,89875,85381,5.91,9,1,Completed,B,A,1999-01-01
10 Federal Self Storage,1930 Highway 42 South,McDonough,GA,30253,4707306966,55760,52972,5.11,9,1,Completed,C,B,1997-01-01
Zack's Mini Warehouses,4898 Bill Gardner Pkwy,Locust Grove,GA,30248,7709571546,22565,21436,1.47,4,1,Completed,C,B,1998-01-01
Zack's Properties,4418 Highway 42,Locust Grove,GA,30248,7709571546,15288,14523,0.85,2,1,Completed,C,C+,1997-01-01
Jodeco Self Storage,3300 Jodeco Road,McDonough,GA,30253,7702883250,12000,NULL,0.92,3,1,Completed,C,B-,1995-01-01
Space Shop Self Storage,151 14th Street NW,Atlanta ,GA,30318,4045373984,115243,97956,3.99,1,2,Completed,A,A,2010-01-01
A 85 Riverdale Storage,635 Poplar Springs Road,Riverdale,GA,30274,7709919115,52169,39126,3.24,1,3,Completed,B,B-,2005-01-01
Shamrock Storage,2572 Lawrenceville Hwy,Decatur,GA,30033,7704931974,14624,13892,2.2,2,1,Completed,C,B-,1980-01-01
ATL Storages - Airport,2479 Sullivan Road,College Park,GA,30337,4047617923,67850,57672,2.91,5,2,Completed,B,B-,1973-01-01
Alpha Mini Storage,4757 South Cobb Drive,Smyrna,GA,30080,7704504364,81418,69205,3.97,10,2,Completed,B,B+,1990-01-01
Ark Self Storage,1744 Cobb Pkwy South,Marietta,GA,30060,7709555128,59610,56629,2.97,6,1,Completed,C,B,1986-01-01
Atlanta Storage,645 Shelton Avenue SW,Atlanta,GA,30310,4047588200,25616,21773,38.32,1,2,Completed,C,C-,2010-04-01
Avondale Mini Storage,3111 Church Street,Scottdale,GA,30079,4044366556,31660,30077,1.36,2,1,Completed,C,B-,1987-01-01
Extra Space Storage,4433 Beech Haven Trail,Smyrna,GA,30080,7708001469,108000,81000,4.05,1,3,Under Construction,NR,B+,2021-03-15
Brookhaven Self Storage,2740 Apple Valley Road NE,Atlanta,GA,30319,4043659999,172497,146622,9.1,14,2,Completed,B,A-,1960-01-01
Buford Highway Mini Storage,4206 Buford Hwy,Atlanta,GA,30345,4046366244,47500,45125,9.2,4,1,Completed,C,B-,1978-01-01
Chestnut Self Storage,3134 Chestnut Drive,Doraville,GA,30340,7704504469,106918,101572,5.3,8,1,Completed,B,B-,1973-01-01
CubeSmart Self Storage,4771 South Atlanta Road SE,Atlanta,GA,30339,4043515560,80686,60514,1.2,1,4,Completed,A,B+,2000-01-01
CubeSmart Self Storage,1820 Marietta Blvd NW,Atlanta,GA,30318,4043515551,98796,74097,1.46,1,4,Completed,A,B-,2009-01-01
CubeSmart Self Storage,1801 Savoy Drive,Chamblee,GA,30341,4703385370,160408,NULL,0.94,1,5,Completed,A,A-,2018-04-23
Extra Space Storage,673 Decatur Village Way,Decatur,GA,30033,4049941313,123624,NULL,1,1,6,Completed,A,B-,2018-05-15
Extra Space Storage,4676 South Atlanta Road,Smyrna,GA,30080,4707047773,197792,NULL,4.07,1,2,Completed,A,B+,2018-07-23
Extra Space Storage,2033 Monroe Drive,Atlanta,GA,30324,4047779625,118750,NULL,1.43,1,4,Completed,A,B+,2018-10-15
Extra Space Storage,1484 Northside Drive,Atlanta,GA,30318,4043828999,100000,NULL,0.46,1,4,Completed,B,B,2019-08-26
CubeSmart Self Storage,3103 North Decatur Road,Scottdale,GA,30079,4046004105,85664,64248,1.18,1,4,Completed,A,B-,2016-01-01
CubeSmart Self Storage,4931 Ashford Dunwoody Road,Dunwoody,GA,30338,7703969696,50936,38202,1,1,3,Completed,A,A-,2006-01-01
CubeSmart Self Storage,3831 Redwing Circle,Decatur,GA,30032,4042845459,150315,142799,8.66,9,1,Completed,C,C+,1986-01-01
Decatur Dekalb Storage,423 Dekalb Industrial Way,Decatur,GA,30030,4044999009,54396,46236,3.8,1,2,Completed,B,B-,1974-01-01
Decatur Self Storage,2915 East Ponce De Leon Avenue,Decatur,GA,30030,4043783232,69425,65953,4.43,1,1,Completed,B,B-,1999-01-01
Dobbins Mini Warehouses,1108 Old Chattahoochee Avenue NW,Atlanta,GA,30318,4043522639,40811,34689,2.06,6,2,Completed,B,B,1985-01-01
Doraville Self Storage,4268 Winters Chapel Road,Doraville,GA,30360,7704556336,41900,39805,2,5,1,Completed,C,C+,1987-01-01
Dresden Drive Mini Storage,2002 Dresden Drive,Chamblee,GA,30341,4046369788,21500,20425,1,3,1,Completed,C,B-,1987-01-01
Extra Space Storage,2340 Cobb Pkwy SE,Smyrna,GA,30080,7708912922,82992,70543,3.55,3,2,Completed,B,B-,1985-01-01
Extra Space Storage,1105 Mount Vernon Hwy,Atlanta,GA,30328,4705851121,139437,104577,1.78,1,4,Completed,A,A,2006-01-01
Extra Space Storage,1989 Montreal Road,Tucker,GA,30084,7706806630,91928,68946,2.48,4,4,Completed,A,B,2007-01-01
Extra Space Storage,2960 Lakewood Avenue,Atlanta,GA,30344,4042909696,81041,76988,5.63,7,1,Completed,B,C+,1989-01-01
Extra Space Storage,2489 Cheshire Bridge Road NE,Atlanta,GA,30324,4048590766,117570,111691,5.59,3,1,Completed,B,B+,1996-01-01
Extra Space Storage,2035 Powers Ferry Road SE,Marietta,GA,30067,7706345097,70772,53079,1.22,1,3,Completed,A,B,2005-01-01
Extra Space Storage,600 Virginia Avenue NE,Atlanta,GA,30306,4048072159,90919,68189,1.58,2,3,Completed,A,A-,1996-01-01
Extra Space Storage,1587 Tibarron Pkwy SE,Smyrna,GA,30080,4046001376,105000,NULL,1.92,1,3,Completed,A,B,2018-11-21
Extra Space Storage,1085 Lindbergh Drive NE,Atlanta,GA,30324,4042051837,96612,72459,1.4,1,4,Completed,A,B+,2016-01-01
Extra Space Storage,1249 Northside Drive NW,Atlanta,GA,30318,6788944690,112448,84336,1,1,5,Completed,A,B,2018-08-02
Extra Space Storage,650 Dekalb Industrial Way,Decatur,GA,30033,4046664577,105000,NULL,2.4,1,3,Completed,A,B-,2018-06-26
Extra Space Storage,5218 Oakdale Road SE,Smyrna,GA,30082,4702700441,85431,64073,1.48,2,3,Completed,A,B+,2016-01-01
Extra Space Storage,890 Chattahoochee Avenue NW,Atlanta,GA,30318,4702591860,60126,51107,1.5,1,2,Completed,A,B+,2012-01-01
Extra Space Storage,660 Edgewood Avenue SE,Atlanta,GA,30312,4705858301,76119,57089,0.86,1,3,Completed,B,B,2013-01-01
Public Storage,820 Fairburn Road SW,Atlanta,GA,30331,4049477827,75600,71820,11.17,1,1,Completed,B,C+,2019-08-09
Forest Park Self Storage,5160 Old Dixie Hwy,Forest Park,GA,30297,4043639055,49500,47025,2.87,5,1,Completed,C,C-,1974-01-01
Guardian Self Storage,5305 Peachtree Blvd,Chamblee,GA,30341,7709860270,125000,106250,14.25,2,2,Completed,B,A-,1994-01-01
Iron Horse Self Storage,4601 South Cobb Drive SE,Smyrna,GA,30080,7706156995,105108,78831,1.83,1,4,Completed,A,B+,2009-01-01
KenCo Mini Storage,5050 Charbett Drive,College Park,GA,30349,4044366600,90700,86165,4.06,7,1,Completed,C,B-,1983-01-01
LifeStorage,486 Decatur Street SE,Atlanta ,GA,30312,4704810800,119259,89444,1.37,2,5,Completed,A,C+,2014-01-01
LifeStorage,1131 Millerville Road,Baton Rouge ,LA,70816,2252730121,89530,85053,6.84,1,1,Completed,C,B-,1988-01-01
LifeStorage,8566 Siegen Lane,Baton Rouge,LA,70810,2257695925,105475,100201,4.16,4,1,Completed,B,A-,2001-01-01
LifeStorage,12340 Industriplex Blvd,Baton Rouge ,LA,70809,2257523733,128853,96639,1.59,1,3,Completed,B,B,2007-01-01
LifeStorage,2914 South Sherwood Forest Blvd,Baton Rouge ,LA,70816,2253680000,38520,36594,1.45,1,1,Completed,B,B-,2001-01-01
LifeStorage,17880 Airline Hwy,Prairieville ,LA,70769,2257440880,94200,89490,3.65,1,1,Completed,B,B,2007-01-01
CubeSmart Self Storage,21085 Old Scenic Hwy,Zachary,LA,70791,2255702611,77833,73941,6.37,5,1,Completed,B,B,2017-07-01
LifeStorage,13605 Coursey Blvd,Baton Rouge,LA,70817,2257521000,145900,138605,5.94,6,1,Completed,B,B+,1994-01-01
