ZipCode,Estimate!!Households!!Total,"Estimate!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars)
17723,33,18.2,21.2,0,6.1,61875
17724,1857,15.6,8.6,2.8,1.2,48463
17727,16,0,12.5,0,0,41364
17728,2001,13.6,21,3.4,2.9,64923
17729,52,17.3,9.6,0,0,40000
17730,51,0,0,0,0,-
17731,89,19.1,15.7,13.5,10.1,95125
17737,2736,11.3,18.3,5,2.6,61940
17739,19,5.3,10.5,0,10.5,-
17740,4575,13.3,16.7,3.5,2,61384
17742,24,0,0,0,8.3,-
17744,1129,18.4,12.4,2.7,1.8,61696
17745,7037,14.5,13.1,4.1,2.4,50093
17747,1010,14.3,15.1,8.4,3.6,64355
17748,63,33.3,4.8,0,0,47656
17749,126,9.5,17.5,0.8,0,50455
17750,29,0,86.2,0,0,-
17751,2727,12,18.3,5.6,1.9,62159
17752,1739,15.9,11.6,2.8,4.1,54361
17754,4976,14.4,17.8,6.5,6,67156
17756,4333,20.1,16.2,4.3,4.1,67569
17758,423,11.1,18,1.4,2.8,46875
17760,241,7.9,21.6,4.6,1.2,55750
17762,242,17.8,13.2,28.9,2.9,91667
17763,138,5.1,9.4,2.9,1.4,50000
17764,1077,10.9,8.4,1,1.9,39361
17765,406,9.4,26.1,1.7,1.2,69250
17768,142,10.6,12.7,12.7,7.7,63333
17769,20,5,45,5,0,96250
17771,1234,14.8,13.5,5.3,5.2,61111
17772,963,10.5,33.1,4.8,1.9,75568
17774,429,18.4,14.5,6.5,6.8,70481
17776,96,21.9,11.5,0,0,61250
17777,2652,12.3,12.5,4,5.4,53092
17778,47,31.9,10.6,0,0,-
17779,18,0,55.6,0,0,-
17801,6588,12.3,12.2,2.9,3.8,48230
17810,644,18.3,16.9,4.5,0.9,62788
17812,612,22.4,14.1,1.1,2.1,62917
17813,728,23.4,9.6,2.3,0.8,61058
17814,1843,10.6,16.1,8.3,4.4,58469
17815,11058,12.1,14.8,5.5,4.5,56942
17820,2140,17.7,16.9,4.8,4,62857
17821,7674,13.7,16.7,6.7,7.7,65651
17822,5,100,0,0,0,-
17823,464,20.3,22,2.6,1.9,72917
17824,1553,9.2,25.4,14.2,7.3,88958
17827,316,18.7,12,6.6,1.6,55000
17829,92,26.1,14.1,5.4,1.1,73125
17830,800,17.9,14.1,4,4.4,59167
17832,303,5.3,15.8,2,0,33438
17834,1488,13.7,16.5,3.5,2.4,61103
17835,21,9.5,47.6,0,0,-
17836,66,9.1,22.7,9.1,0,58750
17837,6299,12.3,17.3,6.1,9.3,61791
17840,174,27,3.4,13.2,0,62419
17841,1663,14.4,12.4,4.2,1.8,53935
17842,3259,16.8,12.5,4.1,4.6,57799
17844,3801,13.5,14.9,5.5,4.8,59484
17845,642,15.3,15.1,3.6,1.6,56591
17846,1474,16.8,15.3,5,2.2,59643
17847,4853,14.7,13,3.8,2.3,52481
17850,267,14.2,10.1,0,0,44297
17851,3343,11.6,10.5,0.8,0,42001
17853,1075,13.6,19.8,6.2,1.1,61205
17855,284,25,17.3,4.9,2.1,74444
17856,1244,12.2,18.6,4.8,8,67961
17857,3273,18.1,14.1,4.1,4.2,61752
17858,31,48.4,0,22.6,0,78375
17859,1084,11.5,22.3,4.2,4.5,64079
17860,1031,11.4,18.5,4.6,14.3,71042
17861,83,4.8,13.3,0,13.3,58450
17862,135,18.5,0,0,0,40938
17864,674,12.5,19.3,4,6.4,61574
17865,23,8.7,26.1,0,0,-
17866,3386,8.3,9.5,3.1,1.2,44367
17867,63,9.5,15.9,7.9,1.6,55625
17868,429,6.5,14.2,17,5.1,62019
17870,5295,16.4,13,7.3,7.4,68153
17872,3964,8.5,10.1,3.3,1.1,35611
17876,718,12.7,18.8,10.6,1.4,68056
17878,551,14.7,14.2,4.7,8.3,68594
17880,36,38.9,0,0,0,56833
17881,600,12.2,20.8,1.8,0,55500
17884,64,23.4,12.5,0,0,47750
17885,105,19,27.6,0,0,67813
17886,382,18.1,5.8,0,3.1,24635
17887,222,30.2,0,0,0,-
17888,195,9.2,27.7,0,4.6,49125
17889,963,12,16.5,12,9.9,75281
17901,9608,12,13.5,4.5,3.2,49942
17920,132,12.1,21.2,0,0,44773
17921,2419,10,16.8,5.1,2.6,60117
17922,1878,11.1,20,10.3,12,80395
17923,193,0,17.1,0,0,29904
17925,128,14.8,21.1,4.7,0,61250
17929,526,16.9,12.5,3,0.6,62500
17930,137,2.9,10.9,2.9,2.2,44375
17931,1951,14.6,21.9,4.3,3.9,69226
17933,107,0,30.8,0,0,-
17934,94,12.8,6.4,2.1,0,43182
17935,710,6.8,7.7,0.6,4.1,36905
17936,377,12.5,14.1,10.1,4.8,63375
17938,1075,33.9,19.8,4.4,2.3,80801
17941,274,16.4,19.3,5.1,2.9,63889
17943,13,0,0,0,0,-
17944,83,19.3,39.8,0,0,88068
17945,156,31.4,1.9,0,0,-
17946,127,21.3,8.7,0,0,71422
17948,1686,10.9,10.6,1.5,2,40370
17949,97,5.2,4.1,5.2,2.1,55179
17951,141,6.4,62.4,0,0,119931
17952,100,8,10,4,10,46875
17953,156,21.8,17.3,1.3,0,51500
17954,2003,5.8,7.4,1,0,42854
17957,140,2.1,52.9,15,2.9,123542
17959,570,14.6,17.7,3.2,1.6,52237
17960,1839,11.5,13.2,11.1,3,58434
17961,2866,18.6,18.7,7.9,10,80782
17963,3683,12.9,23.9,4.1,4.7,67993
17964,278,8.3,12.6,2.9,2.2,51053
17965,829,14.7,11.7,3,0.5,52891
17967,906,14.9,20.9,3.1,2.6,63421
17968,76,9.2,22.4,15.8,2.6,78750
17970,1365,15.4,12.2,1.8,2.9,52166
17972,4760,18.2,12.8,5.4,1.7,59318
17974,110,39.1,9.1,0,0,-
17976,2438,13.2,12.7,0.9,1,43180
17978,220,10,12.3,0,4.1,50417
17979,24,0,0,45.8,0,-
17980,1173,13.3,14.7,3.1,3.6,60816
17981,987,14.2,15.5,3.6,0.7,55515
17982,200,6,17,0,0,48750
17983,559,19,21.3,4.8,2,67750
17985,557,18.1,21.5,4.7,4.3,70781
18011,1983,16.3,28,9.7,7.5,91250
18012,0,-,-,-,-,-
18013,6797,15.6,17.1,7,6.3,68023
18014,4446,14.1,18.8,9.5,7.7,75227
18015,11686,11.7,10.8,6.9,6.6,49504
18017,16169,15.2,17.9,9.5,9.3,78831
18018,13394,12.2,16.6,5.4,5.5,61323
18020,7906,14,23.7,14.4,14.4,108598
18030,243,4.1,10.7,4.9,6.6,47750
18031,4078,11.2,19.6,9.8,19.1,91006
18032,3933,16,21.3,4.7,4.2,67553
18034,3066,12.8,22.7,14.4,24.6,116985
18035,14,0,57.1,0,0,-
18036,5689,15.8,19.7,10.8,20.5,102813
18037,3083,12.6,16,7.3,8.6,69525
18038,1391,14.1,27.7,15.4,4.3,96806
18040,6428,12.5,20.1,17.7,16,105659
18041,2146,24,19.9,12.2,3.2,89025
18042,15971,14.6,16.4,5.7,6.1,66997
18045,11617,13.1,25.2,9.8,15.6,101747
18046,55,0,0,100,0,-
18049,7215,11.2,21.6,11.1,9,80731
18051,1239,14.3,29.7,11.8,20.6,118352
18052,11892,14.2,17.8,8.6,3.6,68644
18053,948,28.5,23,1.9,9.8,87738
18054,1701,9.9,21.5,11.9,21,104442
18055,4616,11.5,22.6,7.2,9.3,75985
18056,416,2.2,32.7,7.9,1.2,54643
18058,3593,16.8,13.1,8.4,2.8,57346
18059,366,10.9,11.7,17.5,27,123750
18062,10126,14.9,18.9,12.2,16.7,94110
18063,126,15.9,34.1,0,0,76250
18064,10018,14.3,21.4,13.4,10.7,92143
18065,163,0,8,0,0,-
18066,2199,13.3,21.2,13,12.9,96958
18067,7881,16.9,19.6,9.4,5.4,76603
18069,2988,11.8,13.2,15.5,20.5,99321
18070,154,2.6,39.6,0,0,-
18071,4563,9.9,14.7,12.3,2.9,62472
18072,2679,14.6,15.8,7.9,6.3,66548
18073,4080,17.7,25.3,13.1,9.8,96855
18074,2155,17,24.7,10.6,18.1,103265
18076,1264,11.3,29.6,6.2,6.9,81563
18077,911,25.5,13.6,6.1,16.7,86519
18078,2801,14.5,19.2,13.2,21.8,108520
18079,192,8.3,46.4,0,0,-
18080,4444,14.6,18.7,5.8,6.2,68506
18081,41,0,61,0,0,-
18083,248,12.1,43.5,6.5,4.4,104107
18085,336,12.8,10.4,8.6,4.5,62813
18086,241,12.4,0,3.7,0,58497
18087,253,13.4,4.7,6.7,6.7,70221
18088,3231,12.7,19.3,5.5,5.9,68572
18091,2203,8.7,19.2,8.1,7,63770
18092,1265,14.2,28.9,7,13.1,99154
18101,1931,5.6,7.4,3.8,4.4,33665
18102,17425,9.3,7.8,1.9,0.6,37652
18103,18745,14.2,16.3,7.4,5.7,66400
18104,17389,14.2,19.3,9.8,8.3,76972
18106,2790,20.5,15,10.5,11,78846
18109,6966,8.1,9.4,4.9,1.3,48065
18195,0,-,-,-,-,-
18201,11586,8.7,10.1,1.3,1.3,41892
18202,5071,11.1,15.3,4.1,3.6,47313
18210,2983,14.9,19.3,3.9,3.2,66112
18211,416,3.6,10.1,11.1,6.5,53393
18212,9,0,0,0,0,-
18214,766,12.9,12.8,7.6,3.1,60765
18216,448,14.7,16.7,0.9,2,52708
18218,884,10.7,10.7,1.8,3.7,48828
18219,510,11.2,19.2,2.7,11,67361
18220,134,28.4,11.2,2.2,0,55000
18221,149,28.2,0,0,0,62165
18222,3570,12.5,22.8,13.5,7.9,85743
18223,26,0,0,0,0,-
18224,2711,16.3,12,1.7,1.1,50827
18225,0,-,-,-,-,-
18229,3653,14,16.3,9.2,1.5,63663
18230,55,7.3,12.7,0,0,50417
18231,210,18.1,6.2,1.9,0,52857
18232,1722,15.6,7.3,2.1,1.1,38900
18234,335,23,0,0,0,-
18235,7827,13.6,20.5,3.6,5.4,63762
18237,1408,12.7,10.5,3.3,1.8,39831
18239,66,0,0,0,0,-
18240,1451,14.5,13.7,1.2,0.5,48319
18241,238,10.1,23.9,0,0,59079
18242,151,4,66.9,0,0,143034
18244,132,12.1,5.3,3,2.3,58125
18245,169,0,0,0,0,38107
18246,96,8.3,16.7,0,0,54063
18248,183,13.7,3.3,5.5,7.7,44125
18249,1434,25.7,9.5,16.9,9.9,87460
18250,1222,25.5,13.9,1.1,1.7,58696
18252,4623,14.2,11.9,10.2,2.7,59788
18254,347,21.6,6.6,2.3,0,44952
18255,1589,14.6,18.2,5.5,1.5,56292
18256,79,19,3.8,0,0,47750
18301,9701,12.5,19.5,12.6,7.9,79645
18302,6036,11.7,21.8,7.1,5.6,70669
18321,617,7.9,28.4,7.3,1.8,73173
18322,909,18.5,33.7,7.4,4.6,92434
18323,58,0,36.2,0,0,-
18324,3668,13.6,26.2,4.9,1.8,64042
18325,1022,7.4,12.8,39.8,6.1,115735
18326,1420,8.2,12.6,9.2,0.9,62487
18327,295,21,17.3,9.8,2.7,79063
18328,3041,17.1,13.5,9.1,4.4,69978
18330,3102,20.1,16.7,9.1,2.6,74110
18331,176,24.4,8.5,0,0,-
18332,942,23,25.4,12,2.9,89431
18333,0,-,-,-,-,-
18334,1715,26.8,24.3,3,2.9,87890
18335,437,0,34.8,7.6,26.8,102319
18336,1578,14.7,20.8,4.8,6.6,68864
18337,5837,15.9,21.3,9.6,9.9,84144
18340,36,0,22.2,52.8,0,162632
18342,217,25.3,0,17.1,0,-
18343,1668,10.7,19.6,10.9,9.5,76000
18344,1271,8.1,18.3,2.7,15.1,55547
18346,1070,4.2,25,5,7.9,59500
18347,1538,9.9,28.1,0.9,4.4,71931
18349,59,0,0,0,0,-
18350,393,37.7,11.7,6.4,4.1,79453
18351,175,30.3,8,0,1.1,58068
18353,4608,19.5,17.4,9,8.8,78888
18354,518,22.2,25.7,0,0,69542
18355,478,15.1,25.3,2.1,6.1,-
18356,32,100,0,0,0,-
18357,52,0,0,0,0,-
18360,10799,12.9,14.3,8.1,7,61446
18370,421,16.2,22.1,0,15.4,85570
18371,269,23.4,20.4,0,4.5,69761
18372,928,10.2,32.5,10.1,6.5,87778
18403,2798,14.5,21.9,3.9,3,64402
18405,926,27.9,8.5,3.7,3.7,61196
18407,6141,11.9,12.8,5.1,3.9,52511
18411,8762,16.2,19.8,10.1,12.1,85669
18413,30,100,0,0,0,-
18414,2211,18,15.2,9.6,6.3,73207
18415,743,19.9,11.3,7.1,10.2,66645
18417,379,17.4,12.4,6.6,3.2,60764
18419,1770,11.8,14.6,6.3,2.1,51140
18420,73,21.9,30.1,0,11,76696
18421,1927,11.5,15.7,5.7,5.1,59158
18424,2041,12.5,16.7,3.9,5.4,57344
18425,426,16.4,16.4,5.6,3.5,61000
18426,1527,8.8,17.7,3.7,9,55495
18428,5178,14.3,12.8,4.9,5.9,61374
18430,29,10.3,13.8,0,10.3,56250
18431,5262,9,12.1,4.7,2.8,52168
18433,2940,11.7,17.2,10.1,9.5,69905
18434,1693,18,5.4,3.8,1.4,52643
18435,440,22.7,23,8.9,8.2,88727
18436,4717,11.3,24,4.2,5.1,69528
18437,77,19.5,0,5.2,0,72563
18438,562,8,9.6,1.4,1.6,53295
18439,166,15.7,16.9,9,6.6,73500
18440,20,10,0,40,0,-
18441,172,8.1,6.4,2.9,23.8,65000
18443,141,9.2,19.9,6.4,14.2,69792
18444,5364,16.1,21,8.7,6.5,78467
18445,924,9.1,16.2,5.1,1.6,44205
18446,1379,10.6,15.2,4.4,4.6,59414
18447,4369,20.3,11.7,5.2,1.1,58128
18451,238,6.7,15.5,1.3,3.4,47067
18452,2301,12.7,14,4.1,1.5,51964
18453,463,16,14.5,6.5,5.4,56750
18454,51,35.3,0,0,0,54688
18455,53,24.5,0,0,0,47589
18456,113,11.5,15.9,10.6,0,56042
18457,32,25,0,0,0,-
18458,1455,19.9,19.1,7,5.4,76165
18460,82,0,1.2,0,0,26094
18461,131,6.1,9.9,10.7,4.6,35694
18462,214,11.2,11.7,12.6,6.5,59483
18463,86,26.7,33.7,0,0,86786
18464,592,9,24.5,15.7,10.1,100313
18465,492,12.4,15.4,4.5,2.4,53750
18466,5753,16.8,15.7,5.8,5,66603
18469,165,10.3,14.5,0,8.5,59018
18470,793,17.3,18.2,3,3.2,63482
18471,207,9.7,29,7.7,22.7,109519
18472,1520,11.8,15.9,8.1,3.8,61591
18473,179,0,6.1,0,0,26790
18503,577,1.6,6.8,0,0,35699
18504,8507,11.9,11.8,4.4,2.1,50531
18505,8360,11.1,14.1,4.1,3.1,45030
18507,2132,11.5,20.2,5.2,11.5,65956
18508,4771,9.4,6.9,2,1.6,41461
18509,5275,11.1,13,5.4,4.1,47531
18510,4822,9.9,11,2.3,3.3,43019
18512,5678,13.2,17.7,3.2,2.7,56571
18517,2139,13.6,18.5,2.3,7.9,63408
18518,3688,17.9,13.5,4.8,6.8,62615
18519,2280,16.4,15.7,4,4.5,60328
18602,140,12.9,11.4,7.9,40.7,145000
18603,8364,13.6,12.5,3,2.4,53900
18610,1322,16.7,18.8,5.5,1.4,71433
18612,6148,12,20.2,14.1,11.7,91410
18614,888,6.1,15.9,4.1,4.1,47727
18615,747,10.8,23.2,5.8,7.4,68558
18616,304,18.4,10.9,3,1.6,55833
18617,696,9.5,11.5,2.3,1.6,30698
18618,1569,12.8,23.3,6.1,8.2,76625
18619,59,6.8,8.5,1.7,3.4,48958
18621,1950,16.1,15.3,5.8,5.3,65297
18622,55,52.7,12.7,20,0,93304
18623,944,18.4,14.6,2.9,2.9,59167
18624,256,3.9,5.1,0,39.1,-
18625,57,7,24.6,0,0,62083
18626,180,11.7,23.9,11.1,2.2,74500
18627,0,-,-,-,-,-
18628,97,13.4,4.1,0,1,33438
18629,775,17.2,12.4,3.5,3.1,54519
18630,1101,19,15.8,9.8,4.7,73125
18631,435,4.6,24.4,0,0.9,46250
18632,188,26.1,6.4,3.7,1.1,59700
18634,5515,14.5,11.1,2.3,3.2,50474
18635,1487,17.1,20.9,5.6,2.5,68750
18636,626,10.4,16.1,0.2,0.6,58355
18640,6839,14.9,12.7,4.5,2.9,47593
18641,2955,18.8,12.1,3.8,2.2,56155
18642,1763,19.5,18.8,8.9,1.8,71939
18643,5696,18.4,15.3,4.6,5.8,64947
18644,3425,15.1,16.4,5.8,5.8,64803
18651,3818,9.7,10.7,4.3,2.4,42623
18655,2318,19.1,16.1,5.3,1.6,62532
18656,879,15.7,9.6,11,0.1,65049
18657,4480,14.2,19.7,4.7,5.5,69618
18660,1360,19.9,15.7,6.8,5.7,70179
18661,2039,14.6,13.6,6.8,3.3,59601
18701,1051,3,3.9,0,0.6,30840
18702,17152,11.3,11.6,4.2,2.9,48213
18704,13420,14,13.4,5.7,3.6,55843
18705,6442,15.8,11.8,3.8,2.5,54891
18706,6792,17.5,10,4.4,1.9,56024
18707,6010,16.3,24.9,10.5,9.3,91806
18708,3719,11.8,19.3,10.8,11.3,82261
18709,1471,10.5,6.9,4,3,40641
18801,3140,15.1,15,5.7,5.5,62679
18810,2784,14.3,16.8,4.2,3.6,51102
18812,617,18,24.3,6.2,7.9,82697
18814,80,17.5,0,1.3,0,39545
18816,23,39.1,0,0,0,-
18817,39,43.6,7.7,0,0,80417
18818,529,16.3,16.4,4,1.3,57120
18820,34,0,55.9,20.6,0,148684
18821,465,13.1,16.6,2.2,3.7,54671
18822,1317,11.7,12.7,6.1,3,52228
18823,75,21.3,20,0,0,-
18824,476,20.2,13.2,7.6,5.5,69643
18825,73,8.2,4.1,2.7,16.4,56750
18826,605,13.4,14.4,6.3,12.9,73814
18828,108,12,10.2,7.4,0,49167
18829,284,11.6,16.5,7.4,3.5,70515
18830,243,10.7,11.9,5.3,5.8,53828
18831,422,6.4,15.2,4.5,2.4,66071
18832,724,12.4,12.3,4,0.4,45625
18833,835,11.6,18.6,2.3,3.1,57554
18834,1228,13.4,12.5,7.7,7.1,63629
18837,1013,15.7,20.8,3.5,1.9,64830
18840,4322,9.9,16.2,4.9,5.9,53300
18842,56,23.2,5.4,5.4,1.8,66250
18843,92,0,7.6,0,0,48393
18844,639,19.4,16.9,11,10.3,83899
18845,171,12.3,12.9,5.8,4.1,49750
18846,264,18.2,18.2,4.5,8.3,69722
18847,2026,12.7,11.4,5.5,3,49891
18848,3648,12,14.5,3.6,2.4,47766
18850,828,14.9,15.2,1.9,3.4,54205
18851,255,18,15.3,5.1,1.2,64688
18853,1684,11,18.6,6.3,4.7,63417
18854,621,15,24.2,2.7,3.5,67813
18901,10681,11.2,17.4,13.5,22.6,107988
18902,7892,10.7,17.3,14.1,34.5,145917
18912,107,0,7.5,7.5,59.8,"250,000+"
18913,74,8.1,0,23,68.9,"250,000+"
18914,7757,11.4,22.5,16.9,23.6,124443
18915,464,5.4,20.7,9.1,30.2,123452
18917,969,14.4,27.6,7.5,7.2,83125
18920,148,10.8,31.1,14.9,7.4,123000
18921,114,0,13.2,0,60.5,211364
18923,496,5.2,14.9,8.3,24,86154
18925,2171,5.2,17.4,17.5,46,186214
18927,144,0,6.9,0,75,"250,000+"
18929,3352,10.4,15.1,18.6,36,154826
18930,931,10.2,20.1,12.5,18.4,103229
18932,124,12.9,0,0,10.5,64375
18933,57,14,14,0,26.3,-
18935,113,12.4,0,0,72.6,235893
18936,79,0,17.7,10.1,72.2,238268
18938,6380,8.6,13.2,12.6,34.6,133320
18940,11527,10.4,18.2,15.2,33.3,145141
18942,1054,21.6,22.2,11.8,11.3,94051
18944,9845,12.4,24.4,13.2,19.6,112205
18946,141,13.5,20.6,18.4,44,185865
18947,2398,7.7,26.9,8.7,25.2,120680
18950,30,0,33.3,0,66.7,-
18951,13960,12.2,22.8,10.8,8.3,84512
18954,3598,4.4,33.3,9.8,33.2,137011
18955,530,25.5,10.2,12.5,4.3,77321
18960,4729,13.4,23.3,9.2,12.9,91549
18962,117,35.9,22.2,0.9,9.4,81602
18964,5200,13.4,19.4,12.8,10.2,84115
18966,14215,13.6,18.9,13.4,19.1,103234
18969,6250,11.2,23.1,10,10.9,85748
18970,313,17.3,23,4.8,18.5,93750
18972,1341,11.6,16.6,17.3,12.5,90956
18974,17264,16.5,18.7,11.4,11.1,87130
18976,8178,10.1,19.2,14,22.5,112035
18977,1758,8.4,17.9,14,45.7,194477
18980,71,18.3,26.8,0,19.7,97019
19001,6407,12.4,25.4,14.1,8.9,94484
19002,11486,10.6,14.8,12.5,31.1,124478
19003,5985,10.5,22.6,11.6,21.7,108655
19004,3971,11.9,17.5,10.2,30.1,127482
19006,8472,8.9,18,12.7,23.1,110430
19007,8963,11.4,16.4,7.3,5.3,61979
19008,7006,11.5,21.5,14.4,23.8,117039
19009,355,7,16.1,16.6,22.8,116528
19010,7728,10.3,17.6,8.9,34.3,132813
19012,2219,11.9,22.9,15.8,14.6,107123
19013,12551,8.9,7,2.3,1.2,34767
19014,7771,16.7,24.1,10.7,11.2,93358
19015,6773,19.3,16.8,7.8,4.1,71355
19017,74,0,40.5,0,52.7,218056
19018,9603,13.7,16.8,10,3.4,63442
19020,22290,12.9,18.5,8.6,8.8,71995
19021,3777,16.3,15.3,4.7,2.2,63125
19022,1499,19.1,6.6,2.5,0,38824
19023,7809,14.7,12.9,2.1,1.4,50245
19025,2346,8,19.8,11.2,40.3,164000
19026,12387,15.8,17.8,9.7,9,77039
19027,8075,14.7,17.1,8.9,19,89484
19029,1569,12.4,17.5,7.1,3.8,48869
19030,4709,18.7,16.7,13,8,83110
19031,1858,14.9,15,18.1,20.9,114167
19032,2489,17.6,9.5,1.8,1.2,55039
19033,2772,18.9,21.9,10.8,9.5,87703
19034,2418,6.4,17.4,8.9,34.3,142857
19035,1455,4.1,6.8,9.1,59.5,"250,000+"
19036,5016,14.8,16.5,6,6.3,66684
19038,11544,11.7,22.4,14.8,16.8,107366
19040,8045,13.4,25.5,11.8,10.5,96105
19041,2569,7.9,16.4,10.5,38.3,144205
19043,1031,16.1,28.2,4.5,5.5,80462
19044,6618,13.8,20.2,10.1,11.3,86639
19046,7640,9,20.4,10.7,22.5,105846
19047,12462,14,20.7,13.8,16.4,101566
19050,12082,11.6,14.4,6.5,4.3,56620
19052,284,16.5,23.9,5.3,11.3,76429
19053,10521,12.8,19,13,12,87441
19054,6521,18.3,28.4,13.4,6.4,95956
19055,4755,18.3,22.1,8,2.7,76435
19056,5909,13.2,23.2,9.4,12.4,90706
19057,6008,17.9,30.5,9.5,3.6,90818
19060,3657,5.5,15.1,16.2,35.7,153656
19061,7731,15.4,13.1,16.6,4.9,75009
19063,15221,11.4,19.3,11.3,22.2,107030
19064,8563,13.7,23.4,16.7,19.9,119788
19066,1689,5.2,13,11,51.9,208229
19067,20503,11.4,20,12.2,25.3,118427
19070,2885,12.3,16.7,15.9,7.5,78775
19072,4357,8.5,15.3,9.8,40.7,157917
19073,8302,11.3,14.9,10.2,29.5,120833
19074,2251,10,30.2,13.2,2.8,90568
19075,2860,15.1,21.2,15.6,13.9,100369
19076,2581,13.6,10.5,8.5,9.1,63579
19078,4593,14,22.9,11.9,7.9,88475
19079,3477,13.5,14.7,2,3.8,60940
19081,3767,7.9,19.3,10.6,23,109440
19082,15894,11.7,10.5,6.2,4.2,50865
19083,13330,11.4,21.1,15.4,17.9,108665
19085,1870,2.6,7.7,7.5,65.7,"250,000+"
19086,4721,8.8,25,15.9,27.2,127910
19087,12157,8.6,17.1,14.2,36.1,151113
19090,7602,15.6,20.3,14.1,8.1,87665
19094,1821,13.5,21.2,11.8,3.9,75917
19095,3316,8.9,15.1,7.3,23.6,93088
19096,5805,8.6,15.6,10.6,39.3,149830
19102,3425,8.6,14.2,13.3,27.2,115597
19103,16337,15,10.8,11.6,19.1,83988
19104,18053,6.6,7.3,1.8,3.4,30734
19106,8155,13.7,16.4,13.7,29.4,126287
19107,8459,11.1,13.2,6,11.6,62280
19108,57,17.5,0,0,66.7,206979
19109,0,-,-,-,-,-
19111,25828,13,14,4.8,4.6,55569
19112,0,-,-,-,-,-
19113,0,-,-,-,-,-
19114,13553,14.1,19.8,6.5,5.4,70838
19115,14642,15.6,14.3,5.7,9.1,62044
19116,13402,11.1,15.3,8.4,5.2,59390
19118,4875,9,17,7.8,20.7,86475
19119,12564,13,14.7,8.2,13.1,72685
19120,24592,10.4,9.2,3.8,1.7,44195
19121,14597,6.5,7.5,1.9,3.2,29691
19122,7814,6.9,11.3,7.5,7.9,43981
19123,8978,11.6,15,12.5,16,83008
19124,24377,9.5,10.7,2.3,3.3,38293
19125,11422,13.6,22.7,12.1,9.8,89505
19126,6704,13.4,13.3,4.2,4.4,54936
19127,2830,8.2,20.8,10.3,14.1,81042
19128,18018,15.4,20.8,9.7,8.5,80803
19129,5149,9.3,18.6,9.7,14.6,81641
19130,15446,14.9,18.6,12.3,16.1,92097
19131,18164,12.3,10.6,3.6,2,42309
19132,14384,5.6,4.9,1.5,1.6,26041
19133,9461,5.1,3.5,0.3,4.8,27811
19134,21942,9.1,9,1.8,1.2,37821
19135,13379,11.9,12.5,2.3,3.2,46311
19136,13124,12.6,17.3,5,2.7,56752
19137,3236,12.5,16.4,4,5.2,52034
19138,12492,10.3,11.1,2.1,1.2,44455
19139,18957,8.6,5.7,1.8,1.5,32531
19140,20384,8.6,5.3,0.3,0.5,27006
19141,14413,8.9,6.5,2.9,0.7,34651
19142,10908,9.2,7.3,2.8,0.8,37621
19143,26259,10.3,9.5,2.5,2.6,38928
19144,19792,10.5,8.6,4.3,3.5,37322
19145,18976,13.1,15.2,5.9,3.9,59216
19146,18101,10.1,17.1,10.2,17.6,86372
19147,18970,11.7,17.3,10.1,20.5,93996
19148,20449,13.4,14.6,7.7,5.5,63497
19149,19381,11.2,11.6,3.9,2.6,50592
19150,10003,16.7,11.6,2.9,3.1,54121
19151,12766,13.4,11.2,5.5,3.2,49337
19152,13456,12,14.1,7.8,3.9,56835
19153,5682,15.3,15.4,1.2,1,57830
19154,12760,15.3,21.4,8,7.6,79833
19301,2913,10.2,14.2,11.8,27.4,106845
19310,934,8.5,20.1,12.2,7,71094
19311,3414,9.6,17.6,8.6,37.6,140188
19312,4318,5,12.3,11,45.8,174583
19316,13,100,0,0,0,-
19317,4012,10.1,21,11.3,32.7,130921
19319,76,5.3,0,13.2,59.2,"250,000+"
19320,19960,13.9,20.5,11,8.9,82158
19330,2005,13.5,20.9,13.9,16.5,101109
19333,3055,12.8,13.7,8.7,36.9,122835
19335,19489,11,19.8,15.8,23.3,121146
19341,8182,15.5,23,12.6,21.8,112443
19342,7833,10,16.9,13,29.3,124895
19343,2832,9.5,15.9,20.8,25.1,132500
19344,4576,11.9,20.8,7.6,6.9,73064
19345,0,-,-,-,-,-
19348,8939,12.4,19.8,12.5,19,103075
19350,3853,6.1,22,16.6,32.1,147264
19352,3028,15.2,23.3,20.1,26.4,136250
19355,10707,9.8,20.1,12.8,34.8,143969
19358,129,8.5,4.7,3.1,0,39426
19362,2068,15.4,15.4,6.8,7.2,66923
19363,5783,12.2,22,11.8,9,87382
19365,2729,14.3,23.5,15.2,8.4,93134
19367,22,31.8,0,0,0,-
19369,52,42.3,0,0,13.5,-
19372,865,17.5,23.6,5.9,6.6,77798
19373,683,10.7,14.8,17,48.2,198162
19374,244,35.2,9,9.4,4.9,76346
19375,64,0,15.6,0,84.4,-
19380,20741,11.6,21,13,21.7,115650
19382,20216,10.6,18.3,10.9,24.5,109470
19383,126,15.9,0,0,0,-
19390,4652,15.8,18.8,10.6,16.4,90125
19401,16862,16.6,12.7,5.8,5.2,60334
19403,18542,14.1,19.9,12,12.3,89224
19405,2022,14.3,19.5,7.5,6.6,73409
19406,12322,15.2,24.3,12.2,12.3,97805
19422,7698,9.3,16.4,12.4,32.9,133722
19425,5718,5.5,22.6,9.4,48.7,190089
